"track_artist","track_popularity","playlist_genre","playlist_subgenre","release_date","duration_min","danceability","energy","loudness","speechiness","acousticness","liveness","tempo"
"Ed Sheeran",66,"pop","dance pop",2019-06-14,3.2459,0.748,0.916,-2.634,0.0583,0.102,0.0653,122.036
"Maroon 5",67,"pop","dance pop",2019-12-13,2.71,0.726,0.815,-4.969,0.0373,0.0724,0.357,99.972
"Zara Larsson",70,"pop","dance pop",2019-07-05,2.9436,0.675,0.931,-3.432,0.0742,0.0794,0.11,124.008
"The Chainsmokers",60,"pop","dance pop",2019-07-19,2.81821666666667,0.718,0.93,-3.778,0.102,0.0287,0.204,121.956
"Lewis Capaldi",69,"pop","dance pop",2019-03-05,3.15086666666667,0.65,0.833,-4.672,0.0359,0.0803,0.0833,123.976
"Ed Sheeran",67,"pop","dance pop",2019-07-11,2.71748333333333,0.675,0.919,-5.385,0.127,0.0799,0.143,124.982
"Katy Perry",62,"pop","dance pop",2019-07-26,3.12791666666667,0.449,0.856,-4.788,0.0623,0.187,0.176,112.648
"Sam Feldt",69,"pop","dance pop",2019-08-29,3.46031666666667,0.542,0.903,-2.419,0.0434,0.0335,0.111,127.936
"Avicii",68,"pop","dance pop",2019-06-14,3.21978333333333,0.594,0.935,-3.562,0.0565,0.0249,0.637,127.015
"Shawn Mendes",67,"pop","dance pop",2019-06-20,4.21733333333333,0.642,0.818,-4.552,0.032,0.0567,0.0919,124.957
"Ed Sheeran",58,"pop","dance pop",2019-06-21,3.4649,0.679,0.923,-6.5,0.181,0.146,0.124,121.984
"Ellie Goulding",67,"pop","dance pop",2019-08-16,3.39555,0.437,0.774,-4.918,0.0554,0.148,0.133,123.125
"Loud Luxury",67,"pop","dance pop",2019-03-29,3.20845,0.744,0.726,-4.675,0.0463,0.0399,0.374,121.985
"Avicii",68,"pop","dance pop",2019-05-17,2.74193333333333,0.572,0.915,-4.451,0.0625,0.0111,0.339,123.919
"Martin Garrix",63,"pop","dance pop",2019-07-12,4.25396666666667,0.69,0.78,-4.446,0.0594,0.00733,0.0729,126.07
"Ed Sheeran",66,"pop","dance pop",2019-12-11,3.13716666666667,0.805,0.835,-4.603,0.0896,0.13,0.365,125.028
"AJ Mitchell",60,"pop","dance pop",2019-05-03,2.89246666666667,0.694,0.901,-4.322,0.0948,0.0702,0.427,118.051
"David Guetta",65,"pop","dance pop",2018-12-28,3.15625,0.678,0.747,-5.289,0.165,0.0395,0.174,120.002
"Sam Smith",69,"pop","dance pop",2019-03-08,2.65673333333333,0.746,0.557,-6.722,0.0542,0.103,0.138,111.961
"Steve Aoki",35,"pop","dance pop",2019-10-18,3.08943333333333,0.467,0.821,-5.466,0.0934,0.00791,0.131,122.676
"Avicii",70,"pop","dance pop",2019-08-23,3.5873,0.572,0.934,-5.053,0.0446,0.00292,0.105,125.948
"R3HAB",64,"pop","dance pop",2019-08-23,2.84445,0.708,0.913,-4.329,0.0348,0.089,0.113,135.016
"David Guetta",62,"pop","dance pop",2019-05-08,3.51613333333333,0.684,0.818,-4.477,0.128,0.0469,0.119,123.938
"AJ Mitchell",70,"pop","dance pop",2019-10-25,3.2258,0.732,0.85,-5.999,0.0444,0.114,0.0388,124.024
"The Chainsmokers",58,"pop","dance pop",2019-05-24,3.41821666666667,0.62,0.889,-3.785,0.0352,0.0163,0.395,110.018
"Lewis Capaldi",63,"pop","dance pop",2019-06-21,2.88,0.675,0.76,-7.037,0.0434,0.104,0.33,124.933
"Marshmello",66,"pop","dance pop",2019-08-09,3.20635,0.682,0.851,-7.117,0.0363,0.0146,0.0289,126
"Ellie Goulding",8,"pop","dance pop",2019-02-01,2.91666666666667,0.663,0.905,-3.781,0.0511,0.0325,0.333,125.996
"Ava Max",62,"pop","dance pop",2019-05-23,2.78125,0.625,0.938,-3.983,0.0517,0.00432,0.0923,127.997
"Nikki Vianna",30,"pop","dance pop",2019-04-19,2.58466666666667,0.679,0.909,-2.929,0.105,0.0334,0.269,119.885
"Charlie Puth",56,"pop","dance pop",2019-11-01,2.96875,0.641,0.869,-4.754,0.0423,0.0319,0.403,128.091
"Starley",56,"pop","dance pop",2018-11-30,2.86666666666667,0.702,0.814,-7.51,0.0841,0.107,0.374,121.993
"Zara Larsson",58,"pop","dance pop",2018-11-23,2.95161666666667,0.723,0.837,-6.487,0.0389,0.0103,0.0834,123.952
"Ava Max",60,"pop","dance pop",2019-09-05,2.83225,0.742,0.864,-5.06,0.0976,0.00141,0.241,125.032
"James Arthur",60,"pop","dance pop",2019-11-22,3.67355,0.716,0.815,-4.121,0.0533,0.108,0.163,124.975
"MAX",55,"pop","dance pop",2019-06-21,3.08788333333333,0.748,0.831,-5.029,0.115,0.0823,0.0757,128.024
"Marshmello",59,"pop","dance pop",2018-11-30,2.83606666666667,0.816,0.833,-5.972,0.0511,0.126,0.0625,122.032
"The Chainsmokers",63,"pop","dance pop",2018-07-25,2.87266666666667,0.633,0.854,-4.046,0.0432,0.0382,0.434,126.026
"ILLENIUM",67,"pop","dance pop",2019-07-12,4.12308333333333,0.563,0.81,-2.921,0.0522,0.00522,0.0846,129.975
"Bazzi vs.",55,"pop","dance pop",2019-06-27,3.63358333333333,0.728,0.815,-2.878,0.046,0.00223,0.101,124.019
"Charli XCX",56,"pop","dance pop",2019-10-25,3.34073333333333,0.846,0.773,-3.503,0.0473,0.0141,0.204,124.008
"Kygo",87,"pop","dance pop",2019-06-28,3.80445,0.693,0.678,-7.159,0.0324,0.0154,0.101,103.952
"Armin van Buuren",62,"pop","dance pop",2019-10-18,2.50266666666667,0.678,0.928,-3.66,0.0597,0.0303,0.143,116.892
"Billie Eilish",83,"pop","dance pop",2019-07-11,3.24733333333333,0.67,0.453,-11.265,0.295,0.252,0.117,135.055
"Ava Max",55,"pop","dance pop",2019-11-01,2.95776666666667,0.755,0.931,-4.104,0.0606,0.132,0.0854,122.041
"Sia",61,"pop","dance pop",2019-05-24,3.63955,0.622,0.859,-7.626,0.0636,0.000609,0.0909,121.968
